Year,Date,Hour,CensusTract_2010,NumberOfReports,CensusTract_2010_ID,CensusTract_2010_NAME
2020,01/25/2020,07 PM,63.0,1,6300,Census Tract 63
2020,01/25/2020,09 PM,175.0,1,17500,Census Tract 175
2020,01/25/2020,09 AM,997.03,1,99703,Census Tract 997.03
2020,01/25/2020,11 AM,484.0,1,48400,Census Tract 484
2020,01/25/2020,04 PM,450.0,1,45000,Census Tract 450
2020,01/25/2020,07 AM,104.0,1,10400,Census Tract 104
2020,01/25/2020,09 AM,73.0,1,7300,Census Tract 73
2020,01/25/2020,09 AM,112.0,1,11200,Census Tract 112
2020,01/25/2020,10 AM,73.0,1,7300,Census Tract 73
2020,01/25/2020,11 AM,14.02,1,1402,Census Tract 14.02
2020,01/25/2020,06 PM,67.0,1,6700,Census Tract 67
2020,01/25/2020,06 PM,68.01,1,6801,Census Tract 68.01
2020,01/25/2020,06 PM,13.02,1,1302,Census Tract 13.02
2020,01/25/2020,07 PM,118.0,1,11800,Census Tract 118
2020,01/26/2020,12 PM,71.0,1,7100,Census Tract 71
2020,01/26/2020,01 PM,111.0,1,11100,Census Tract 111
2020,01/26/2020,02 PM,7.0,1,700,Census Tract 7
2020,01/26/2020,03 PM,143.0,1,14300,Census Tract 143
2020,01/26/2020,04 PM,185.0,1,18500,Census Tract 185
2020,01/26/2020,07 PM,245.0,1,24500,Census Tract 245
2020,01/26/2020,12 PM,845.0,1,84500,Census Tract 845
2020,01/26/2020,08 AM,108.03,1,10803,Census Tract 108.03
2020,01/26/2020,08 AM,57.02,1,5702,Census Tract 57.02
2020,01/26/2020,09 AM,75.0,1,7500,Census Tract 75
2020,01/26/2020,09 AM,98.0,1,9800,Census Tract 98
2020,01/26/2020,11 AM,131.04,1,13104,Census Tract 131.04
2020,01/26/2020,12 PM,13.02,1,1302,Census Tract 13.02
2020,01/26/2020,02 PM,132.01,1,13201,Census Tract 132.01
2020,01/26/2020,03 PM,123.03,1,12303,Census Tract 123.03
2020,01/26/2020,06 PM,97.03,1,9703,Census Tract 97.03
2020,01/26/2020,07 PM,23.0,1,2300,Census Tract 23
2020,01/26/2020,07 PM,82.0,1,8200,Census Tract 82
2020,01/26/2020,10 AM,19.0,1,1900,Census Tract 19
